Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0312002615,312,C4456,15,117,MOYLE DR,,101,Residential,"328,270.00","79,050.00",0,2015,"407,320.00",2,Weledeh,École St. Patrick High School,62.46735875,-114.3725452
0312002614,312,C4456,14,117,MOYLE DR,,101,Residential,"346,450.00","78,930.00",0,2015,"425,380.00",2,Weledeh,École St. Patrick High School,62.46730056,-114.3726569
0312002613,312,C4456,13,117,MOYLE DR,,101,Residential,"344,060.00","77,890.00",0,2015,"421,950.00",2,Weledeh,École St. Patrick High School,62.46725701,-114.3727522
0312002612,312,C4456,12,117,MOYLE DR,,101,Residential,"336,300.00","78,290.00",0,2015,"414,590.00",2,Weledeh,École St. Patrick High School,62.46721966,-114.372833
0312002611,312,C4456,11,117,MOYLE DR,,101,Residential,"341,600.00","80,520.00",0,2015,"422,120.00",2,Weledeh,École St. Patrick High School,62.46717522,-114.3729337
0312002610,312,C4456,10,117,MOYLE DR,,101,Residential,"344,910.00","81,130.00",0,2015,"426,040.00",2,Weledeh,École St. Patrick High School,62.46712087,-114.3730645
0312002609,312,C4456,9,117,MOYLE DR,,101,Residential,"344,720.00","79,530.00",0,2015,"424,250.00",2,Weledeh,École St. Patrick High School,62.46707736,-114.3731619
0312002608,312,C4456,8,117,MOYLE DR,,101,Residential,"344,720.00","79,540.00",0,2015,"424,260.00",2,Weledeh,École St. Patrick High School,62.46703964,-114.3732492
0312002607,312,C4456,7,117,MOYLE DR,,101,Residential,"337,150.00","81,490.00",0,2015,"418,640.00",2,Weledeh,École St. Patrick High School,62.46699675,-114.3733531
0312002606,312,C4456,6,117,MOYLE DR,,101,Residential,"342,780.00","81,530.00",0,2015,"424,310.00",2,Weledeh,École St. Patrick High School,62.4669429,-114.3734838
0312002605,312,C4456,5,117,MOYLE DR,,101,Residential,"349,970.00","79,410.00",0,2015,"429,380.00",2,Weledeh,École St. Patrick High School,62.4669023,-114.3735767
